Lunda	lun			
Luo (Kenya and Tanzania)	luo			
Lushai	lus			
Luxembourgish	ltz	lb		
Macedo-Romanian	rup			
Macedonian	mac/mkd	mk		
Madurese	mad			
Magahi	mag			
Maithili	mai			
Makasar	mak			
Malagasy	mlg	mg		
Malay	may/msa	ms		
Malayalam	mal	ml		
Maldivian	div	dv		
Maltese	mlt	mt		
Manchu	mnc			
Mandar	mdr			
Mandingo	man			
Manipuri	mni			
Manobo languages	mno			
Manx	glv	gv		
Maori	mao/mri	mi		
Mapuche	arn			
Mapudungun	arn			
Marathi	mar	mr		
Mari	chm			
Marshallese	mah	mh		
Marwari	mwr			
Masai	mas			
Mayan languages	myn			
Mende	men			
Mi'kmaq	mic			
Micmac	mic			
Minangkabau	min			
Mirandese	mwl			
Mohawk	moh			
Moksha	mdf			
Moldavian	rum/ron	ro		
Moldovan	rum/ron	ro		
Mon-Khmer languages	mkh			
Mong	hmn			
Mongo	lol			
Mongolian	mon	mn		
Montenegrin	cnr			
Mossi	mos			
Multiple languages	mul			
Munda languages	mun			
N'Ko	nqo			
Nahuatl languages	nah			
Nauru	nau	na		
Navaho	nav	nv		
Navajo	nav	nv		
"Ndebele, North"	nde	nd		
"Ndebele, South"	nbl	nr		
Ndonga	ndo	ng		
Neapolitan	nap			
Nepal Bhasa	new			
Nepali	nep	ne		
Newari	new			
Nias	nia			
Niger-Kordofanian languages	nic			
Nilo-Saharan languages	ssa			
Niuean	niu			
No linguistic content	zxx			
Nogai	nog			
"Norse, Old"	non			
North American Indian languages	nai			
North Ndebele	nde	nd		
Northern Frisian	frr			
Northern Sami	sme	se		
Northern Sotho	nso			
Norwegian	nor	no		
Norwegian Bokmål	nob	nb		
Norwegian Nynorsk	nno	nn		
Not applicable	zxx			
Nubian languages	nub			
Nuosu	iii	ii		
Nyamwezi	nym			
Nyanja	nya	ny		
Nyankole	nyn			
"Nynorsk, Norwegian"	nno	nn		
Nyoro	nyo			
Nzima	nzi			
Occidental	ile	ie		
Occitan (post 1500)	oci	oc		
"Occitan, Old (to 1500)"	pro			
Official Aramaic (700-300 BCE)	arc			
Oirat	xal			
Ojibwa	oji	oj		
Old Bulgarian	chu	cu		
Old Church Slavonic	chu	cu		
Old Newari	nwc			
Old Slavonic	chu	cu		
Oriya	ori	or		
Oromo	orm	om		
Osage	osa			
Ossetian	oss	os		
Ossetic	oss	os		
Otomian languages	oto			
Pahlavi	pal			
Palauan	pau			
Pali	pli	pi		
Pampanga	pam			
Pangasinan	pag			
Panjabi	pan	pa		
Papiamento	pap			
Papuan languages	paa			
Pashto	pus	ps		
Pedi	nso			
Persian	per/fas	fa		
"Persian, Old (ca.600-400 B.C.)"	peo			
Philippine languages	phi			
Phoenician	phn			
Pilipino	fil			
Pohnpeian	pon			
Polish	pol	pl		
Portuguese	por	pt		
Prakrit languages	pra			
"Provençal, Old (to 1500)"	pro			
Punjabi	pan	pa		
Pushto	pus	ps		
Quechua	que	qu		
Rajasthani	raj			
Rapanui	rap			
Rarotongan	rar			
Reserved for local use	qaa-qtz			
Romance languages	roa			
Romanian	rum/ron	ro		
Romansh	roh	rm		
Romany	rom			
Rundi	run	rn		
Russian	rus	ru		
Sakan	kho			
Salishan languages	sal			
Samaritan Aramaic	sam			
Sami languages	smi			
Samoan	smo	sm		
Sandawe	sad			
Sango	sag	sg		
Sanskrit	san	sa		
Santali	sat			
Sardinian	srd	sc		
Sasak	sas			
"Saxon, Low"	nds			
Scots	sco			
Scottish Gaelic	gla	gd		
Selkup	sel			
Semitic languages	sem			
Sepedi	nso			
Serbian	srp	sr		
Serer	srr			
Shan	shn			
Shona	sna	sn		
Sichuan Yi	iii	ii		
Sicilian	scn			
Sidamo	sid			
Sign Languages	sgn			
Siksika	bla			
Sindhi	snd	sd		
Sinhala	sin	si		
Sinhalese	sin	si		
Sino-Tibetan languages	sit			
Siouan languages	sio			
Skolt Sami	sms			
Slave (Athapascan)	den			
Slavic languages	sla			
Slovak	slo/slk	sk		
Slovenian	slv	sl		
Sogdian	sog			
Somali	som	so		
Songhai languages	son			
Soninke	snk			
Sorbian languages	wen			
"Sotho, Northern"	nso			
"Sotho, Southern"	sot	st		
South American Indian languages	sai			
South Ndebele	nbl	nr		
Southern Altai	alt			
Southern Sami	sma			
Spanish	spa	es		
Sranan Tongo	srn			
Standard Moroccan Tamazight	zgh			
Sukuma	suk			
Sumerian	sux			
Sundanese	sun	su		
Susu	sus			
Swahili	swa	sw		
Swati	ssw	ss		
Swedish	swe	sv		
Swiss German	gsw			
Syriac	syr			
Tagalog	tgl	tl		
Tahitian	tah	ty		
Tai languages	tai			
Tajik	tgk	tg		
Tamashek	tmh			
Tamil	tam	ta		
Tatar	tat	tt		
Telugu	tel	te		
Tereno	ter			
Tetum	tet			
Thai	tha	th		
Tibetan	tib/bod	bo		
Tigre	tig			
Tigrinya	tir	ti		
Timne	tem			
Tiv	tiv			
tlhIngan-Hol	tlh			
Tlingit	tli			
Tok Pisin	tpi			
Tokelau	tkl			
Tonga (Nyasa)	tog			
Tonga (Tonga Islands)	ton	to		
Tsimshian	tsi			
Tsonga	tso	ts		
Tswana	tsn	tn		
Tumbuka	tum			
Tupi languages	tup			
Turkish	tur	tr		
"Turkish, Ottoman (1500-1928)"	ota			
Turkmen	tuk	tk		
Tuvalu	tvl			
Tuvinian	tyv			
Twi	twi	tw		
Udmurt	udm			
Ugaritic	uga			
Uighur	uig	ug		
Ukrainian	ukr	uk		
Umbundu	umb			
Uncoded languages	mis			
Undetermined	und			
Upper Sorbian	hsb			
Urdu	urd	ur		
Uyghur	uig	ug		
Uzbek	uzb	uz		
Vai	vai			
Valencian	cat	ca		
Venda	ven	ve		
Vietnamese	vie	vi		
Volapük	vol	vo		
Votic	vot			
Wakashan languages	wak			
Walloon	wln	wa		
Waray	war			
Washo	was			
Welsh	wel/cym	cy		
Western Frisian	fry	fy		
Western Pahari languages	him			
Wolaitta	wal			
Wolaytta	wal			
Wolof	wol	wo		
Xhosa	xho	xh		
Yakut	sah			
Yao	yao			
Yapese	yap			
Yiddish	yid	yi		
Yoruba	yor	yo		
Yupik languages	ypk			
Zande languages	znd			
Zapotec	zap			
Zaza	zza			
Zazaki	zza			
Zenaga	zen			
Zhuang	zha	za		
Zulu	zul	zu		
